codigo_tse,sigla_partido,votos
10839,PSTU,4
10839,PT,3432
10839,REDE,20
10847,MDB,53
10847,NOVO,1
10847,PATRI,9
10847,PDT,301
10847,PODE,1
10847,PSDB,56
10847,PSL,267
10847,PSOL,4
10847,PSTU,1
10847,PT,2782
10847,REDE,8
10855,DC,7
10855,MDB,45
10855,NOVO,22
10855,PATRI,45
10855,PDT,1190
10855,PODE,9
10855,PSDB,62
10855,PSL,1117
10855,PSOL,12
10855,PSTU,2
10855,PT,4595
10855,REDE,24
10863,MDB,28
10863,NOVO,2
10863,PATRI,10
10863,PDT,541
10863,PODE,8
10863,PPL,2
10863,PSDB,56
10863,PSL,302
10863,PSOL,3
10863,PSTU,1
10863,PT,2771
10863,REDE,12
10871,DC,2
10871,MDB,47
10871,NOVO,6
10871,PATRI,18
10871,PDT,454
10871,PODE,3
10871,PPL,2
10871,PSDB,85
10871,PSL,611
10871,PSOL,24
10871,PSTU,1
10871,PT,4115
10871,REDE,33
10880,DC,1
10880,MDB,25
10880,NOVO,2
10880,PATRI,4
10880,PDT,150
10880,PODE,2
10880,PSDB,45
10880,PSL,161
10880,PSOL,1
10880,PSTU,2
10880,PT,2022
10880,REDE,9
10898,DC,1
10898,MDB,47
10898,NOVO,50
10898,PATRI,31
10898,PDT,803
10898,PODE,22
10898,PSDB,95
10898,PSL,887
10898,PSOL,17
10898,PSTU,4
10898,PT,3933
10898,REDE,19
01090,DC,2
01090,MDB,245
01090,NOVO,7
01090,PATRI,25
01090,PDT,334
01090,PODE,33
01090,PPL,1
01090,PSDB,1085
01090,PSL,4654
01090,PSOL,28
01090,PT,2764
01090,REDE,80
10901,MDB,28
10901,NOVO,18
10901,PATRI,11
10901,PDT,347
10901,PODE,6
10901,PSDB,75
10901,PSL,345
10901,PSOL,7
10901,PT,2329
10901,REDE,12
10910,DC,1
10910,MDB,12
10910,NOVO,27
10910,PATRI,2
10910,PDT,240
10910,PODE,5
10910,PPL,1
10910,PSDB,41
10910,PSL,496
10910,PSOL,7
